Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7146747,WHOSIS_000001,COUNTRY,PRT,YEAR,EUR,Europe,SEX,2004,SEX_BTSX,,,,,,,78.1 [78.1-78.2],78.12094465,78.10839073,78.21224035,,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
7146777,WHOSIS_000001,COUNTRY,ERI,YEAR,AFR,Africa,SEX,2017,SEX_BTSX,,,,,,,63.2 [62.3-64.2],63.17091217,62.2998359,64.16824751,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
873,WHOSIS_000001,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,SEX,2008,SEX_MLE,,,,,,,48.0 [46.7-49.6],48.03754082,46.71678387,49.62845721,,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
1069,WHOSIS_000001,COUNTRY,BTN,YEAR,SEAR,South-East Asia,SEX,2002,SEX_BTSX,,,,,,,67.8 [67.1-68.6],67.84566543,67.08312422,68.55874474,,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
3594,WHOSIS_000001,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,SEX,2011,SEX_FMLE,,,,,,,75.2 [75.1-75.4],75.20535884,75.05047771,75.38517504,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6861,WHOSIS_000001,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,SEX,2005,SEX_FMLE,,,,,,,73.1 [72.8-73.5],73.12227378,72.80645298,73.47894822,,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
7113,WHOSIS_000001,COUNTRY,CYP,YEAR,EUR,Europe,SEX,2003,SEX_MLE,,,,,,,76.9 [76.7-77.2],76.86012885,76.67123665,77.16347738,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
7428,WHOSIS_000001,COUNTRY,DNK,YEAR,EUR,Europe,SEX,2014,SEX_MLE,,,,,,,78.6 [78.6-78.7],78.61687489,78.59347689,78.7057478,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8727,WHOSIS_000001,COUNTRY,PHL,YEAR,WPR,Western Pacific,SEX,2007,SEX_BTSX,,,,,,,69.6 [69.3-70.0],69.58190674,69.27042318,69.99117192,,2024-08-02T09:43:39.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
9266,WHOSIS_000001,COUNTRY,MAR,YEAR,EMR,Eastern Mediterranean,SEX,2020,SEX_FMLE,,,,,,,73.9 [73.3-74.4],73.86985157,73.33215257,74.42699856,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
