SpatialDimType,SpatialDim,ParentLocation,TimeDim,Dim1,NumericValue
WORLDBANKINCOMEGROUP,WB_LI,,2005,Male,55.94948992
COUNTRY,SOM,Eastern Mediterranean,2008,Male,48.03754082
COUNTRY,BTN,South-East Asia,2002,Both,67.84566543
COUNTRY,BHR,Eastern Mediterranean,2011,Female,75.20535884
COUNTRY,SAU,Eastern Mediterranean,2005,Female,73.12227378
COUNTRY,CYP,Europe,2003,Male,76.86012885
COUNTRY,DNK,Europe,2014,Male,78.61687489
COUNTRY,PHL,Western Pacific,2007,Both,69.58190674
COUNTRY,MAR,Eastern Mediterranean,2020,Female,73.86985157
COUNTRY,WSM,Western Pacific,2004,Female,72.08095548
COUNTRY,JOR,Eastern Mediterranean,2014,Male,78.39096907
COUNTRY,URY,Americas,2015,Both,77.09925201
COUNTRY,DNK,Europe,2020,Female,83.16166983
COUNTRY,PRI,Americas,2020,Male,76.14090106
COUNTRY,GHA,Africa,2005,Male,58.2958344
COUNTRY,TON,Western Pacific,2019,Both,72.94212581
COUNTRY,JOR,Eastern Mediterranean,2009,Female,76.55739127
COUNTRY,TUR,Europe,2012,Male,73.77355049
COUNTRY,BRA,Americas,2003,Both,72.30491342
COUNTRY,FJI,Western Pacific,2006,Both,67.08069927
COUNTRY,NIC,Americas,2020,Male,71.71241065
COUNTRY,IRQ,Eastern Mediterranean,2003,Male,65.68953983
COUNTRY,BGD,South-East Asia,2017,Male,72.08322327
COUNTRY,TON,Western Pacific,2016,Both,72.56032607
COUNTRY,SWE,Europe,2016,Male,80.36714012
GLOBAL,GLOBAL,,2015,Both,72.18568947
COUNTRY,AUS,Western Pacific,2006,Both,81.04245453
COUNTRY,ISL,Europe,2005,Both,80.90304444
COUNTRY,COD,Africa,2018,Female,63.60932257
COUNTRY,FSM,Western Pacific,2001,Both,63.81961029
COUNTRY,NGA,Africa,2018,Male,61.26091993
COUNTRY,KEN,Africa,2007,Both,58.55063756
COUNTRY,ATG,Americas,2016,Both,75.54812509
COUNTRY,BWA,Africa,2005,Male,50.84700013
COUNTRY,CYP,Europe,2004,Female,81.50500335
COUNTRY,TUN,Eastern Mediterranean,2013,Female,79.10734252
COUNTRY,CZE,Europe,2017,Female,81.69092888
COUNTRY,PNG,Western Pacific,2011,Both,65.03278821
COUNTRY,FRA,Europe,2012,Female,84.52986176
COUNTRY,ESP,Europe,2016,Male,80.0420428
COUNTRY,JAM,Americas,2011,Both,72.86139713
COUNTRY,SVK,Europe,2020,Male,73.48147988
WORLDBANKINCOMEGROUP,WB_HI,,2002,Both,77.91958141
COUNTRY,SWE,Europe,2005,Male,78.31471805
COUNTRY,LBR,Africa,2021,Female,64.26883806
COUNTRY,IRL,Europe,2004,Male,75.93998811
COUNTRY,SUR,Americas,2000,Both,70.55904903
COUNTRY,UZB,Europe,2009,Both,66.2800996
COUNTRY,NZL,Western Pacific,2018,Female,83.36205057
COUNTRY,GNB,Africa,2014,Male,54.70521169
COUNTRY,OMN,Eastern Mediterranean,2001,Female,76.00067092
COUNTRY,DJI,Eastern Mediterranean,2012,Male,61.18324458
REGION,WPR,,2016,Male,73.92346253
COUNTRY,ECU,Americas,2017,Both,77.31252311
COUNTRY,TTO,Americas,2018,Male,70.59042495
COUNTRY,NZL,Western Pacific,2003,Both,79.05551434
COUNTRY,IND,South-East Asia,2018,Male,68.87555599
COUNTRY,ALB,Europe,2013,Both,77.77410839
COUNTRY,LSO,Africa,2014,Male,46.03257198
COUNTRY,EST,Europe,2001,Female,76.47111928
COUNTRY,CHL,Americas,2005,Both,78.0049121
COUNTRY,BTN,South-East Asia,2018,Female,74.94852418
COUNTRY,ESP,Europe,2001,Female,82.75513079
COUNTRY,ZWE,Africa,2021,Both,58.48102238
COUNTRY,NGA,Africa,2020,Female,64.43518594
COUNTRY,RUS,Europe,2011,Both,69.77052933
COUNTRY,HTI,Americas,2005,Both,58.63996581
COUNTRY,TUR,Europe,2021,Male,72.53640214
COUNTRY,BEN,Africa,2020,Both,64.40363479
COUNTRY,GRC,Europe,2000,Male,75.97017437
COUNTRY,BFA,Africa,2005,Both,55.19811279
COUNTRY,KGZ,Europe,2000,Both,65.93470005
COUNTRY,CYP,Europe,2010,Both,81.17822871
COUNTRY,BIH,Europe,2015,Male,74.52760304
COUNTRY,MLT,Europe,2017,Both,82.05744637
COUNTRY,RUS,Europe,2010,Female,74.76350378
WORLDBANKINCOMEGROUP,WB_LI,,2001,Both,54.40413809
COUNTRY,TCD,Africa,2011,Both,56.17787256
COUNTRY,BGD,South-East Asia,2000,Male,63.71118475
COUNTRY,COD,Africa,2019,Female,64.08077318
REGION,SEAR,,2007,Both,66.92530001
COUNTRY,TCD,Africa,2012,Male,55.13300401
COUNTRY,NLD,Europe,2010,Female,82.50005909
COUNTRY,TON,Western Pacific,2021,Both,72.72088222
COUNTRY,DNK,Europe,2013,Both,80.1645831
COUNTRY,NIC,Americas,2004,Male,72.86952492
COUNTRY,ROU,Europe,2005,Female,75.61820668
COUNTRY,FJI,Western Pacific,2012,Male,65.56656873
COUNTRY,SLB,Western Pacific,2013,Male,62.54505448
COUNTRY,ATG,Americas,2018,Male,74.02402622
COUNTRY,LBN,Eastern Mediterranean,2018,Both,79.36847038
COUNTRY,HRV,Europe,2003,Both,74.86052687
COUNTRY,LTU,Europe,2003,Both,71.84648999
COUNTRY,BFA,Africa,2010,Male,56.45253442
COUNTRY,SAU,Eastern Mediterranean,2000,Male,69.42950388
COUNTRY,PAK,Eastern Mediterranean,2009,Both,63.92267166
COUNTRY,KIR,Western Pacific,2011,Male,58.15393034
COUNTRY,GRD,Americas,2008,Both,70.92544169
COUNTRY,DZA,Africa,2014,Both,75.93393131
COUNTRY,SAU,Eastern Mediterranean,2019,Male,76.45406338
COUNTRY,GNB,Africa,2003,Both,51.43513822
COUNTRY,ITA,Europe,2004,Male,77.69725945
COUNTRY,MNE,Europe,2004,Both,73.73506539
COUNTRY,DOM,Americas,2004,Male,70.19105428
COUNTRY,SSD,Africa,2021,Female,60.61474174
COUNTRY,MDV,South-East Asia,2005,Male,71.50191
COUNTRY,PHL,Western Pacific,2019,Female,73.21518621
COUNTRY,COG,Africa,2018,Male,62.71322436
COUNTRY,SEN,Africa,2005,Male,60.85186284
COUNTRY,IRN,Eastern Mediterranean,2018,Male,76.26902586
COUNTRY,ERI,Africa,2000,Male,51.25031992
