,Id,SpatialDimType,SpatialDim,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Value,NumericValue,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
count,12936.0,12936,12936,12936,12210,12936,12936.0,12936,12936,12936.0,12936,12936.0,12936,12936
unique,,4,196,1,6,1,,3,6517,,1,,22,22
top,,COUNTRY,PRT,YEAR,Europe,SEX,,SEX_BTSX,79.1 [79.1-79.2],,2024-08-02T09:43:39.193+02:00,,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
freq,,12210,66,12936,3300,12936,,4312,34,,12936,,588,588
mean,5086045.611085343,,,,,,2010.5,,,70.17089000141696,,2010.5,,
std,2949514.5518742977,,,,,,6.344534002778155,,,8.799312569985497,,6.344534002778155,,
min,873.0,,,,,,2000.0,,,36.59915316,,2000.0,,
25%,2514284.5,,,,,,2005.0,,,64.30417653999999,,2005.0,,
50%,5060052.0,,,,,,2010.5,,,71.73677531,,2010.5,,
75%,7645227.5,,,,,,2016.0,,,77.0067675875,,2016.0,,
max,10179448.0,,,,,,2021.0,,,87.37102664,,2021.0,,
