,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
count,12936.0,12936,12936,12936,12936,12210,12210,12936,12936.0,12936,0.0,0.0,0.0,0.0,0.0,0.0,12936,12936.0,12916.0,12916.0,0.0,12936,12936.0,12936,12936
unique,,1,4,196,1,6,6,1,,3,,,,,,,6517,,,,,1,,22,22
top,,WHOSIS_000001,COUNTRY,PRT,YEAR,EUR,Europe,SEX,,SEX_BTSX,,,,,,,79.1 [79.1-79.2],,,,,2024-08-02T09:43:39.193+02:00,,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
freq,,12936,12210,66,12936,3300,3300,12936,,4312,,,,,,,34,,,,,12936,,588,588
mean,5086045.611085343,,,,,,,,2010.5,,,,,,,,,70.17089000141696,69.70509724519897,70.67597438834623,,,2010.5,,
std,2949514.5518742977,,,,,,,,6.344534002778155,,,,,,,,,8.799312569985497,9.094539583544208,8.491698052946566,,,6.344534002778155,,
min,873.0,,,,,,,,2000.0,,,,,,,,,36.59915316,36.00276383,37.36271785,,,2000.0,,
25%,2514284.5,,,,,,,,2005.0,,,,,,,,,64.30417653999999,63.5608428225,65.0936391875,,,2005.0,,
50%,5060052.0,,,,,,,,2010.5,,,,,,,,,71.73677531,71.36825323,72.178513175,,,2010.5,,
75%,7645227.5,,,,,,,,2016.0,,,,,,,,,77.0067675875,76.78197044,77.2618264175,,,2016.0,,
max,10179448.0,,,,,,,,2021.0,,,,,,,,,87.37102664,87.32065004,87.42140325,,,2021.0,,
